-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653838361.251722	-40.0	-1.57498e-09	1350.8700000000001	2.334	1349.7493243319564
1653838363.3642612	-41.0	-8.619531e-10	1355.905	2.352	1354.7627329496745
1653838365.463007	-42.0	2.34873e-10	1361.0925	2.34	1359.9575317076237
1653838367.5612817	-43.0	-1.228421e-09	1365.9775	2.334	1364.8442912179964
1653838369.6597028	-44.0	-1.583427e-09	1371.165	2.346	1370.01576247625
1653838371.7583208	-45.0	1.478966e-10	1376.6575	2.34	1375.5095525886654
1653838374.0105839	-46.0	-3.018346e-10	1381.8449999999998	2.334	1380.6986276114592
1653838376.1069965	-47.0	-1.705144e-09	1386.7275000000002	2.322	1385.5888746276335
1653838378.2064052	-48.0	-1.251127e-10	1391.7625	2.34	1390.6019570479095
1653838380.3062074	-49.0	-3.842001e-10	1397.41	2.334	1396.25071495756
1653838382.405195	-50.0	-1.809881e-09	1402.5974999999999	2.322	1401.4458439603538
1653838384.5037458	-51.0	-1.677246e-09	1407.6325000000002	2.334	1406.4647344175994
1653838386.602314	-52.0	-2.155494e-09	1413.2775	2.334	1412.105051351023
1653838388.705952	-53.0	-2.225212e-09	1418.62	2.316	1417.4611991810095
1653838390.8033602	-54.0	-2.119274e-09	1423.655	2.322	1422.4860538988396
1653838392.9022312	-55.0	-1.209547e-09	1429.4524999999999	2.334	1428.2666326438707
1653838395.1558743	-56.0	-1.966419e-10	1434.7925	2.328	1433.608313677965
1653838397.2537978	-57.0	-7.222743e-10	1440.2875000000001	2.31	1439.1170872009789
1653838399.3829951	-58.0	-8.392099e-10	1445.7800000000002	2.316	1444.5990135144862
